"id","street","city","buildingNumber"
"577","ul. Gruszczyński 007","Zawichost","85"
"578","ul. Sobczak 9812","Maszewo","64"
"579","al. Musiał 841","Skoczów","6"
"580","ul. Kozłowski 26055","Sokołów Podlaski","79"
"581","al. Krysiak 44737","Zawichost","15"
"582","ul. Michalik 18966","Jedlicze","87"
"583","al. Szyszka 338","Kamienna Góra","65"
"584","ul. Lasota 774","Stąporków","28"
"585","ul. Malec 29754","Stęszew","78"
"586","al. Woliński 200","Lewin Brzeski","77"
"587","al. Siwek 407","Kamień Krajeński","66"
"588","ul. Kaczmarek 103","Miastko","20"
"589","ul. Szczerba 408","Włodawa","84"
"590","al. Sołtysiak 70098","Kraśnik","98"
"591","al. Tomczak 51825","Terespol","14"
"592","ul. Małek 22225","Szczawnica","91"
"593","ul. Tokarski 931","Kraśnik","87"
"594","ul. Kucharczyk 00363","Rymanów","82"
"595","al. Kasprzyk 43759","Jasło","57"
"596","al. Jarosz 2148","Jarocin","32"
"597","ul. Szymański 4971","Dzierżoniów","41"
"598","al. Grzybowski 32560","Grabów nad Prosną","9"
"599","al. Szczęsna 967","Bielsko-Biała","37"
"600","al. Musiał 507","Kielce","58"
"601","ul. Walkowiak 833","Mrocza","16"
"602","al. Grzesiak 933","Kołobrzeg","82"
"603","ul. Bochenek 40962","Czersk","38"
"604","al. Jóźwik 560","Stoczek Łukowski","90"
"605","ul. Piasecki 236","Siemiatycze","64"
"606","ul. Dziuba 3068","Łańcut","88"
"607","ul. Herman 9471","Dzierżoniów","63"
"608","ul. Panek 72753","Bogatynia","63"
"609","al. Polak 342","Przedecz","39"
"610","ul. Frączek 8231","Żelechów","63"
"611","ul. Graczyk 2661","Sędziszów Małopolski","13"
"612","ul. Sobolewski 248","Września","84"
"613","ul. Jóźwik 69356","Lidzbark Warmiński","49"
"614","ul. Andrzejczak 29976","Żarki","43"
"615","al. Kosowski 27896","Stawiszyn","54"
"616","al. Świątek 74733","Grodków","22"
"617","al. Włodarczyk 4191","Suchedniów","45"
"618","al. Kania 248","Syców","77"
"619","ul. Bober 073","Marki","99"
"620","ul. Mazurkiewicz 57405","Nowe Miasto nad Pilicą","58"
"621","al. Jóźwik 40949","Police","53"
"622","ul. Noga 323","Sulechów","30"
"623","al. Musiał 05780","Jastrzębie-Zdrój","72"
"624","al. Kot 554","Janowiec Wielkopolski","61"
"625","ul. Grzelak 9231","Kętrzyn","71"
"626","ul. Wojtasik 130","Głogówek","82"
"627","ul. Śliwiński 9030","Szadek","66"
"628","ul. Szulc 1551","Wieluń","86"
"629","al. Kulig 4618","Skała","99"
"630","al. Zaborowski 66258","Szklarska Poręba","88"
"631","al. Czechowski 265","Miasteczko Śląskie","18"
"632","al. Gruszczyński 61857","Władysławowo","57"
"633","ul. Gruszka 868","Śmigiel","22"
"634","al. Banaś 888","Olsztynek","48"
"635","ul. Graczyk 2848","Wleń","29"
"636","ul. Juszczak 8295","Józefów (powiat otwocki)","23"
"637","ul. Kaczmarski 397","Luboń","39"
"638","al. Tkaczyk 795","Książ Wielkopolski","54"
"639","al. Orłowski 0136","Swarzędz","88"
"640","ul. Rusin 4043","Jelenia Góra","54"
"641","al. Kopczyński 517","Mosina","29"
"642","ul. Majchrzak 76222","Ruda Śląska","8"
"643","ul. Stasiak 63796","Nowe Warpno","77"
"644","ul. Żuk 18741","Hajnówka","21"
"645","ul. Dąbrowski 108","Wolbórz","63"
"646","ul. Bogucki 47515","Wołów","50"
"647","ul. Lipiński 96506","Dąbie","27"
"648","ul. Morawski 097","Kluczbork","46"
"649","ul. Wiśniewski 1358","Szamotuły","17"
"650","al. Bednarczyk 4609","Daleszyce","72"
"651","ul. Jurkowski 9754","Ciężkowice","29"
"652","ul. Czerwiński 2166","Dzierzgoń","29"
"653","al. Musiał 268","Kałuszyn","48"
"654","ul. Majcher 722","Aleksandrów Kujawski","76"
"655","al. Janik 03740","Gołańcz","73"
"656","ul. Sowa 289","Tyczyn","31"
"657","al. Ratajczak 3419","Lublin","65"
"658","ul. Miller 1174","Kuźnia Raciborska","90"
"659","ul. Stawicki 93631","Wschowa","2"
"660","ul. Kołodziej 294","Łeba","19"
"661","al. Kowalewski 580","Grybów","98"
"662","al. Wójcik 813","Golina","94"
"663","al. Sokół 40900","Stargard Szczeciński","19"
"664","al. Karwowski 02349","Sławno","56"
"665","ul. Bednarek 28099","Wieliczka","33"
"666","ul. Buczyński 7550","Łęczyca","93"
"667","al. Góral 49492","Lwówek","88"
"668","al. Chrzanowski 72965","Paczków","9"
"669","al. Tomczyk 05381","Ciężkowice","16"
"670","ul. Janicki 3637","Jedwabne","25"
"671","al. Gąsior 88822","Kowalewo Pomorskie","62"
"672","al. Prus 626","Bodzentyn","77"
"673","al. Filipiak 57472","Legnica","92"
"674","al. Kiełbasa 1922","Nowe Brzesko","97"
"675","al. Duszyński 63410","Rypin","25"
"676","al. Brzeziński 29474","Ostrzeszów","85"
"677","al. Przybylski 951","Szubin","20"
"678","ul. Krukowski 071","Wołczyn","71"
"679","ul. Janus 419","Ciechocinek","38"
"680","al. Wójcik 53979","Wołczyn","52"
"681","ul. Młynarczyk 775","Dobra (powiat łobeski)","20"
"682","ul. Żyła 538","Starachowice","31"
"683","al. Adamiak 292","Poręba","86"
"684","al. Zygmunt 36657","Tykocin","64"
"685","al. Dudziński 41061","Dzierżoniów","89"
"686","al. Marszałek 8670","Łeba","66"
"687","ul. Gil 59974","Świdnica","32"
"688","al. Popławski 699","Działoszyce","61"
"689","al. Cebula 04324","Świdwin","41"
"690","al. Wojtasik 83803","Łęczna","58"
"691","al. Kulesza 8812","Moryń","26"
"692","ul. Stachurski 2168","Siechnice","88"
"693","ul. Urbański 1002","Żyrardów","29"
"694","al. Stolarczyk 50210","Przedbórz","6"
"695","al. Wolny 809","Rawa Mazowiecka","51"
"696","ul. Morawski 914","Żuromin","76"
"697","al. Balcerzak 951","Ciechanów","33"
"698","ul. Stefański 5220","Witkowo","60"
"699","al. Kostecki 527","Andrychów","10"
"700","al. Rogowski 1324","Środa Wielkopolska","13"
"701","ul. Buczek 52676","Ostrów Wielkopolski","35"
"702","al. Zielonka 81366","Żyrardów","31"
"703","ul. Maliszewski 0683","Szlichtyngowa","45"
"704","al. Czerniak 632","Żabno","83"
"705","ul. Adamiec 8539","Radków","90"
"706","ul. Gawroński 821","Zakroczym","83"
"707","al. Błaszczak 497","Słomniki","88"
"708","al. Kita 5967","Krajenka","94"
"709","al. Stachura 2811","Kruszwica","28"
"710","ul. Zagórski 59228","Świdwin","25"
"711","al. Krawiec 208","Dobrzany","76"
"712","ul. Bukowski 92037","Wolbórz","63"
"713","al. Podgórski 1850","Działoszyn","30"
"714","al. Mrozek 4932","Międzyrzecz","54"
"715","al. Adamiak 74398","Przysucha","56"
"716","al. Zygmunt 08224","Jedlicze","51"
"717","ul. Król 6524","Sośnicowice","41"
"718","al. Mrozek 58804","Piaseczno","42"
"719","al. Kruszewski 49452","Chocianów","90"
"720","ul. Michalczyk 4836","Działoszyn","9"
"721","al. Markowski 1519","Tomaszów Lubelski","33"
"722","al. Podgórski 8277","Świerzawa","1"
"723","ul. Czech 616","Żnin","96"
"724","al. Staniszewski 474","Dziwnów","36"
"725","al. Czerniak 51803","Łęknica","48"
"726","al. Wójtowicz 57953","Siedlce","22"
"727","al. Florek 574","Dąbrowa Górnicza","9"
"728","al. Kawa 1147","Głubczyce","1"
"729","ul. Kamiński 5211","Dobrzyń nad Wisłą","21"
"730","ul. Lech 758","Bochnia","41"
"731","ul. Pasternak 8262","Baranów Sandomierski","76"
"732","al. Grzelak 986","Bieruń","89"
"733","al. Janusz 4260","Kostrzyn","54"
"734","al. Zdunek 21729","Jeziorany","0"
"735","al. Gołębiewski 18770","Opalenica","84"
"736","ul. Urbanek 02491","Chodzież","31"
"737","ul. Głąb 2350","Aleksandrów Kujawski","56"
"738","al. Chmielewski 064","Bardo","87"
"739","ul. Woźniak 72362","Ziębice","76"
"740","ul. Tomczyk 10265","Rawicz","61"
"741","ul. Polak 040","Leśnica","35"
"742","al. Wolski 35097","Mysłowice","38"
"743","al. Ossowski 89378","Szepietowo","2"
"744","al. Wyszyński 00256","Rymanów","79"
"745","al. Bartosik 7136","Bardo","9"
"746","al. Strzelczyk 396","Kałuszyn","82"
"747","al. Wójtowicz 29362","Chrzanów","38"
"748","al. Bilski 195","Krzyż Wielkopolski","73"
"749","ul. Sroka 8292","Łaskarzew","11"
"750","al. Kita 9071","Szamotuły","38"
"751","ul. Budziński 857","Pieniężno","68"
"752","ul. Więckowski 3846","Czaplinek","3"
"753","ul. Szymczak 3125","Szprotawa","85"
"754","ul. Piotrowski 1061","Zdzieszowice","41"
"755","ul. Głowacki 5526","Lubliniec","98"
"756","al. Kowalczuk 6865","Rawicz","42"
"757","al. Wieczorek 165","Stargard Szczeciński","43"
"758","ul. Szymkowiak 851","Niepołomice","60"
"759","ul. Woźniak 133","Katowice","6"
"760","al. Lisowski 6680","Gorzów Wielkopolski","67"
"761","al. Brzeziński 6206","Kuźnia Raciborska","89"
"762","ul. Skowron 4436","Opalenica","76"
"763","al. Kucharczyk 97611","Tomaszów Mazowiecki","79"
"764","al. Banach 9332","Czarna Woda","54"
"765","ul. Cichoń 38517","Bobowa","33"
"766","ul. Bober 639","Krzepice","99"
"767","ul. Graczyk 44081","Pyrzyce","79"
"768","ul. Kędzierski 12502","Łęknica","39"
"769","ul. Maciejewski 7359","Łaskarzew","38"
"770","ul. Piwowarczyk 940","Józefów (powiat biłgorajski)","18"
"771","ul. Golec 1323","Zbąszynek","39"
"772","ul. Wnuk 181","Białobrzegi","57"
"773","ul. Barański 309","Kołaczyce","95"
"774","al. Bielski 3927","Myszków","75"
"775","al. Góral 539","Jastrzębie-Zdrój","80"
"776","ul. Barański 248","Śrem","87"
"777","al. Kawa 788","Kobyłka","12"
"778","ul. Mackiewicz 319","Nisko","13"
"779","ul. Kłos 9362","Jaworzno","58"
"780","ul. Sienkiewicz 320","Katowice","20"
"781","ul. Tomaszewski 917","Żarów","47"
"782","al. Pasternak 340","Lubomierz","98"
"783","al. Bujak 290","Inowrocław","37"
"784","al. Piłat 0501","Mirosławiec","60"
"785","ul. Pluta 16648","Zbąszyń","20"
"786","ul. Maj 4101","Krośniewice","84"
"787","ul. Gałka 306","Chmielnik","40"
"788","al. Dobrzyński 00469","Knurów","35"
"789","ul. Kula 2051","Ostroróg","31"
"790","al. Ptak 3702","Rawicz","79"
"791","al. Sieradzki 31108","Stawiski","83"
"792","ul. Wnuk 888","Narol","4"
"793","ul. Szydłowski 9291","Tychowo","7"
"794","al. Gutowski 779","Nowa Dęba","36"
"795","ul. Czyżewski 13058","Katowice","70"
"796","al. Gil 8303","Gostynin","4"
"797","ul. Rosa 2199","Węgliniec","26"
"798","al. Kuc 807","Koluszki","89"
"799","al. Głogowski 927","Gorzów Śląski","84"
"800","al. Prus 962","Krynica Morska","75"
"801","ul. Jagiełło 3949","Kleszczele","12"
"802","ul. Sadowski 1846","Drawno","34"
"803","al. Jakubiak 10398","Lubliniec","7"
"804","al. Stachowicz 500","Lądek-Zdrój","26"
"805","ul. Skóra 7353","Kock","34"
"806","al. Michałowski 13289","Dąbrowa Białostocka","23"
"807","al. Karpiński 3678","Aleksandrów Kujawski","11"
"808","al. Iwański 9031","Nowe Miasto nad Pilicą","68"
"809","ul. Czajkowski 126","Ryglice","5"
"810","ul. Kula 16679","Tuchów","44"
"811","al. Makowski 1907","Serock","69"
"812","al. Markowski 147","Sanok","40"
"813","al. Ostrowski 029","Opole","15"
"814","al. Rakowski 181","Dobczyce","72"
"815","al. Dąbrowski 530","Biłgoraj","9"
"816","ul. Król 2113","Gostynin","9"
"817","al. Szczęsny 8915","Zawidów","50"
"818","ul. Filipiak 3023","Siewierz","17"
"819","ul. Zych 802","Mrocza","92"
"820","ul. Czaja 48521","Tuchów","17"
"821","al. Mazurkiewicz 359","Mińsk Mazowiecki","30"
"822","ul. Kurek 296","Bełżyce","18"
"823","al. Cholewa 4981","Frampol","76"
"824","al. Stanisławski 93772","Lublin","51"
"825","ul. Włodarski 473","Skoki","75"
"826","ul. Gołąb 19228","Kórnik","52"
"827","ul. Janowski 625","Karczew","35"
"828","ul. Bednarczyk 5206","Strzelce Krajeńskie","7"
"829","al. Leśniewski 17176","Parczew","34"
"830","al. Lisiecki 0325","Łazy","61"
"831","ul. Wolny 13476","Resko","69"
"832","al. Radecki 8133","Malbork","45"
"833","al. Dec 7120","Legnica","21"
"834","al. Michalak 528","Ustroń","25"
"835","al. Piotrowski 83253","Gorzów Wielkopolski","29"
"836","ul. Mroczkowski 195","Wolsztyn","45"
"837","ul. Ciszewski 243","Sława","34"
"838","al. Urbanowicz 737","Krasnobród","59"
"839","al. Kędziora 0630","Bydgoszcz","88"
"840","ul. Kita 39809","Zawichost","72"
"841","ul. Karpiński 06690","Małomice","49"
"842","al. Wilczyński 46835","Świdwin","85"
"843","ul. Kucharczyk 58756","Tarnobrzeg","44"
"844","al. Szczygieł 137","Koszalin","9"
"845","al. Cichy 7161","Cieszanów","33"
"846","al. Nawrot 752","Mielec","73"
"847","al. Płonka 37697","Miasteczko Śląskie","66"
"848","al. Włodarski 35000","Lubień Kujawski","2"
"849","al. Marzec 80011","Duszniki-Zdrój","57"
"850","al. Lach 3514","Myszków","46"
"851","ul. Szwed 534","Bodzentyn","78"
"852","ul. Dominiak 343","Frampol","69"
"853","al. Bąk 43141","Zator","52"
"854","ul. Lesiak 2855","Siemiatycze","7"
"855","al. Bielak 094","Prudnik","95"
"856","ul. Pawlak 24292","Brodnica","72"
"857","al. Wilczyński 7040","Ścinawa","40"
"858","ul. Śliwiński 91571","Działdowo","13"
"859","ul. Zarzycki 2133","Kowalewo Pomorskie","90"
"860","ul. Ruciński 089","Żagań","86"
"861","ul. Jarosz 298","Nowe","70"
"862","ul. Polak 9443","Stawiski","81"
"863","al. Jabłoński 68085","Lewin Brzeski","10"
"864","ul. Stawicki 1542","Aleksandrów Kujawski","13"
"865","ul. Dróżdż 36158","Recz","28"
"866","ul. Janik 7510","Strumień","78"
"867","al. Skowroński 22666","Brzesko","90"
"868","ul. Stankiewicz 33054","Gniezno","21"
"869","ul. Szymański 572","Raciąż","0"
"870","al. Kalinowski 63996","Karpacz","46"
"871","al. Piłat 19349","Kłobuck","10"
"872","al. Juszczak 65393","Barlinek","33"
"873","ul. Urbańczyk 51102","Opalenica","96"
"874","ul. Tomczyk 1460","Grodków","52"
"875","ul. Witek 219","Kłobuck","82"
"876","ul. Piechota 051","Glinojeck","66"
"877","ul. Kubicki 744","Koszalin","31"
"878","al. Krzyżanowski 9189","Ustroń","86"
"879","ul. Ciszewski 346","Osieczna","76"
"880","ul. Kowalczyk 819","Bieżuń","35"
"881","ul. Chrzanowski 3096","Krasnobród","65"
"882","al. Molenda 6380","Międzyrzec Podlaski","43"
"883","al. Czajkowski 2919","Połaniec","43"
"884","ul. Dudziak 890","Warszawa","1"
"885","ul. Motyka 113","Bytów","57"
"886","ul. Florek 382","Hajnówka","3"
"887","al. Maślanka 9520","Wolsztyn","21"
"888","al. Bober 83720","Rawicz","18"
"889","al. Śliwiński 414","Kępice","10"
"890","al. Szafrański 0986","Mogilno","76"
"891","al. Dąbek 01842","Woźniki","27"
"892","al. Niedźwiecki 46827","Elbląg","55"
"893","ul. Michałowski 9746","Polkowice","61"
"894","ul. Rak 0519","Myszków","98"
"895","al. Żak 60757","Kłecko","11"
"896","al. Dudzik 28329","Glinojeck","13"
"897","ul. Stolarski 912","Węgrów","38"
"898","al. Banaś 95620","Kłecko","79"
"899","ul. Król 49812","Krynica Morska","55"
"900","ul. Mazurkiewicz 9662","Radłów","50"
"901","ul. Niedzielski 32959","Lipiany","85"
"902","al. Szymkowiak 43788","Mirosławiec","26"
"903","al. Murawski 95225","Margonin","66"
"904","al. Zieliński 0932","Baranów Sandomierski","52"
"905","ul. Kita 2630","Skoczów","44"
"906","ul. Wojtasik 06840","Szlichtyngowa","19"
"907","ul. Gałka 74666","Marki","4"
"908","al. Bartosik 88419","Terespol","15"
"909","ul. Barański 65529","Ozorków","51"
"910","ul. Janowski 05105","Paczków","36"
"911","ul. Kopczyński 7023","Złoczew","37"
"912","ul. Kaźmierczak 4879","Pieniężno","97"
"913","ul. Leszczyński 2072","Myszyniec","77"
"914","ul. Kaczyński 925","Radomsko","99"
"915","al. Wojtczak 649","Kleczew","92"
"916","al. Różycki 8688","Koźmin Wielkopolski","57"
"917","ul. Krzyżanowski 82816","Raciąż","82"
"918","al. Kucharczyk 409","Trzemeszno","35"
"919","ul. Lipski 426","Oleśnica","90"
"920","al. Leśniewski 89757","Lesko","89"
"921","ul. Zabłocki 9563","Aleksandrów Łódzki","82"
"922","ul. Stachowiak 74155","Nowy Dwór Gdański","41"
"923","ul. Leśniewski 697","Lipno","0"
"924","ul. Staszewski 26506","Sucha Beskidzka","20"
"925","al. Ossowski 8785","Lubawka","99"
"926","al. Mucha 603","Lądek-Zdrój","50"
"927","ul. Puchalski 8004","Oświęcim","9"
"928","ul. Mazurek 3196","Szczucin","24"
"929","ul. Słowiński 842","Ozimek","99"
"930","ul. Kostrzewa 97230","Augustów","53"
"931","al. Kisiel 834","Morąg","48"
"932","al. Matysiak 084","Nowa Dęba","92"
"933","al. Głąb 3291","Wołów","82"
"934","ul. Pilch 692","Łasin","27"
"935","ul. Komorowski 5617","Śrem","46"
"936","ul. Niewiadomski 35629","Zelów","13"
"937","ul. Kogut 15785","Zamość","81"
"938","ul. Ossowski 97987","Sobótka","16"
"939","al. Zieliński 08193","Braniewo","53"
"940","al. Lipski 3561","Kraków","3"
"941","al. Mucha 0800","Ostroróg","73"
"942","ul. Kuc 8010","Narol","53"
"943","ul. Górecki 67050","Pułtusk","80"
"944","ul. Strzelecki 4571","Wyszogród","14"
"945","al. Kruszewski 15479","Chełmża","51"
"946","ul. Wojtasik 19052","Węgliniec","76"
"947","ul. Zdunek 41710","Tarnobrzeg","29"
"948","ul. Paszkowski 976","Orzesze","33"
"949","al. Janowski 7696","Pszów","8"
"950","ul. Długosz 4529","Borne Sulinowo","96"
"951","ul. Piotrowicz 425","Wasilków","81"
"952","al. Rybicki 61063","Wałbrzych","87"
"953","ul. Jurkowski 70922","Świdnik","48"
"954","ul. Wawrzyniak 7212","Skoczów","95"
"955","ul. Augustyn 2151","Nowa Ruda","50"
"956","ul. Drabik 982","Niepołomice","69"
"957","ul. Rak 5189","Łask","65"
"958","ul. Rudziński 051","Kędzierzyn-Koźle","18"
"959","al. Wojtas 4238","Miłomłyn","2"
"960","ul. Borowski 31705","Biała Podlaska","47"
"961","al. Skowron 4131","Wadowice","7"
"962","ul. Tracz 60605","Wyszków","19"
"963","al. Lasota 6429","Skarszewy","74"
"964","ul. Urbanek 8975","Goniądz","57"
"965","ul. Pluta 39902","Kostrzyn nad Odrą","11"
"966","al. Kisiel 510","Sępopol","28"
"967","ul. Stec 760","Witkowo","76"
"968","ul. Kałuża 4601","Goniądz","33"
"969","ul. Mróz 464","Koszalin","29"
"970","ul. Koza 13639","Borne Sulinowo","51"
"971","ul. Gajewski 9521","Olsztynek","38"
"972","al. Kuliński 57681","Babimost","67"
"973","al. Piłat 64921","Radzyń Chełmiński","74"
"974","ul. Bukowski 104","Bytom Odrzański","18"
"975","al. Małek 383","Baranów Sandomierski","86"
"976","al. Juszczak 65521","Ełk","11"
"977","ul. Kuczyński 08270","Miłakowo","6"
"978","ul. Wójcik 431","Hajnówka","78"
"979","ul. Mrozek 59173","Frombork","34"
"980","al. Piątek 72457","Bełchatów","34"
"981","al. Małecki 85827","Katowice","47"
"982","ul. Witek 559","Olkusz","17"
"983","al. Witek 351","Pilica","21"
"984","ul. Cichoń 49169","Barcin","67"
"985","al. Jakubiak 199","Warka","20"
"986","al. Cieślak 6613","Braniewo","39"
"987","al. Góra 7341","Radzionków","53"
"988","al. Małecki 978","Bardo","13"
"989","ul. Cieślak 5078","Przeworsk","36"
"990","ul. Janas 99778","Świętochłowice","54"
"991","al. Cichocki 3963","Bobolice","0"
"992","al. Maciąg 76475","Drawno","55"
"993","ul. Tokarski 8223","Skalbmierz","21"
"994","al. Kos 195","Żabno","63"
"995","ul. Malicki 9645","Świnoujście","35"
"996","al. Wilczek 103","Limanowa","25"
"997","al. Miśkiewicz 13316","Wisła","13"
"998","al. Gawroński 6166","Myszków","25"
"999","al. Ossowski 6543","Działdowo","45"
"1000","ul. Wróblewski 69746","Słupsk","38"
